Compatibility list MAME style
+----------+-----+-----+--------------------------------+------+------+------+------+-----------------------------------------------------+
|romname   | Pl  | Rot | Control Type (for one player)  | Bios | Test | Boot | Game | Notes                                               |
|meltybld  |  2  |  H  | joystick with 5 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|meltyblo  |  2  |  H  | joystick with 5 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|moeru     |  1  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|mok       |  2  |  H  | lightgun                       |      | Yes  | Yes  | Yes  |                                                     |
|monkeyba  |  1  |  H  | analog 2-channel stick         |      | Yes  | Yes  | Yes  |                                                     |
|ngdup23a  |  -  |  -  |                                |      | Yes  | Yes  | Yes  | dimm board unemulated                               |
|ngdup23c  |  -  |  -  |                                |      | Yes  | Yes  | Yes  | dimm board unemulated                               |
|ngdup23e  |  -  |  -  |                                |      | Yes  | Yes  | Yes  | dimm board unemulated                               |
|ndcfboxa  |  -  |  -  |                                |      | Yes  | Yes  | Yes  | dimm board unemulated                               |
|psyvar2   |  1  |  V  | joystick with 2 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|puyofev   |  2  |  H  | joystick with 2 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|quizqgd   |  2  |  V  | joystick with 4 buttons        |      | Yes  | Yes  | Yes  |                                                     |
|radirgy   |  1  |  V  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|radirgyo  |  1  |  V  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|senko     |  2  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|senkoo    |  2  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|senkosp   |  2  |  H  | joystick with 3 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|sfz3ugd   |  2  |  H  | joystick with 6 buttons        | Jap  | Yes  | Yes  | Yes  |                                                     |
|shaktam   |  2  |  H  | 2 axis, 5 btn                  |      | Yes  | Yes  | Yes  |                                                     |
